,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(8, 460, 315, 135, (1, 1, 1))",0.0,0.0,0.0,-0.05154675861479159,-0.05122931313214666,0.0,-0.05180827957672936,-0.05074953250313723,0.0
"(30, 480, 0, 135, (1, 1, 1))",-0.05160083323086509,0.0,0.0,-0.05208101577967407,0.0,0.0,0.0,0.0,0.0
"(65, 500, 315, 90, (1, 1, 1))",-0.05191911658685342,0.0,0.0,0.0,-0.05174659215847419,-0.05078864392500219,0.0,0.0,0.0
"(113, 520, 315, 90, (1, 1, 1))",0.0,0.0,2710.0,0.0,-0.05204114735666715,-0.05091771747670198,-0.05361612608426341,0.0,-0.05182250699240151
"(170, 540, 315, 90, (1, 1, 1))",0.0,0.0,0.0,-0.05327180985821683,-0.05247479042568365,0.0,0.0,0.0,-0.05240858467755456
"(233, 560, 315, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05366678077828109,-0.0530089224193456,-0.054451975461031255,0.0,0.0
"(300, 580, 315, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 315, 0, (1, 1, 1))",-0.252121586136316,-0.25992445205478254,-0.2560942878837257,-0.2675658786370744,-0.23507403660682816,-0.27086194258969815,591.635103199078,-0.2563056255567772,-0.24665845485893684
"(430, 60, 270, 45, (1, 1, 1))",-0.05391684485084596,-0.05488151662103903,-0.05591497280890195,-0.10515248431157659,-0.053867206068395374,-0.05488151662103903,-0.06155758921470403,-0.11119300260003084,-0.05452860226605369
"(487, 80, 225, 90, (1, 1, 1))",0.0,0.0,-0.05750392406267876,0.0,0.0,0.0,0.0,0.0,-0.055535803543551546
"(535, 100, 270, 135, (1, 1, 1))",-0.056168551250241665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05476515517253536
"(570, 120, 315, 180, (1, 1, 1))",0.0,-0.055302750195760836,0.0,0.0,0.0,0.0,-0.05591047998950808,0.0,-0.05419483237707411
"(592, 140, 270, 180, (1, 1, 1))",0.0,0.0,-0.05540469817715356,0.0,-0.05518609476816114,0.0,-0.05521272685429771,-0.054680684886209134,-0.05368127950978568
"(600, 160, 315, 180, (1, 1, 1))",-0.05532890897212575,-0.05498668093425157,-0.05410841999842737,-0.0550475748929173,0.0,-0.053483840445713915,-0.05575627447262493,-0.0550475748929173,0.0
"(592, 180, 270, 225, (1, 1, 1))",0.0,-0.054941052021754894,-0.05384408072872369,0.0,0.0,0.0,-0.05420943716646801,0.0,0.0
"(570, 200, 225, 225, (1, 1, 1))",0.0,0.0,-0.054369598924776746,-0.05545000498223282,-0.05463633266987061,0.0,0.0,-0.05353549285043239,0.0
