batch,term,s1,s2,s3,end_state,done,mean_reward
0,0,0,0,0,"[8, 460, 45, 270, (0, 0, 0)]",False,149.46836363689286
0,1,1,1,0,"[300, 300, 315, 270, (1, 1, 0)]",False,49.46327690722239
0,2,0,0,0,"[233, 320, 135, 135, (0, 0, 0)]",False,149.46682630226078
0,3,1,1,0,"[113, 360, 270, 0, (1, 1, 0)]",False,49.46805388596731
0,4,1,0,0,"[535, 100, 315, 90, (1, 0, 0)]",False,99.45977101134578
0,5,1,0,0,"[430, 60, 180, 270, (1, 0, 0)]",False,99.45729919218721
0,6,1,1,0,"[300, 300, 180, 225, (1, 1, 0)]",False,49.45527034098157
0,7,1,1,0,"[300, 20, 0, 225, (1, 1, 0)]",False,49.467180810773364
0,8,1,0,0,"[30, 400, 270, 0, (1, 0, 0)]",False,99.46154128704127
0,9,1,1,0,"[233, 560, 90, 180, (1, 1, 0)]",False,49.46115737596375
0,10,1,1,0,"[487, 240, 45, 90, (1, 1, 0)]",False,49.455026228556434
0,11,1,0,0,"[570, 120, 135, 90, (1, 0, 0)]",False,99.4592384117542
0,12,1,0,0,"[367, 40, 180, 0, (1, 0, 0)]",False,99.45849414260731
0,13,1,0,0,"[535, 100, 225, 315, (1, 0, 0)]",False,99.46193240984405
0,14,1,0,0,"[487, 80, 225, 45, (1, 0, 0)]",False,99.45984386370156
0,15,1,0,0,"[300, 580, 45, 315, (1, 0, 0)]",False,99.46988409031991
0,16,1,0,0,"[367, 280, 180, 45, (1, 0, 0)]",False,99.45806358387625
0,17,1,0,0,"[570, 120, 45, 0, (1, 0, 0)]",False,99.45125902009937
0,18,1,0,0,"[430, 60, 270, 90, (1, 0, 0)]",False,99.45959441561047
0,19,1,0,0,"[592, 180, 45, 270, (1, 0, 0)]",False,99.45856966054545
0,20,1,0,0,"[430, 60, 315, 0, (1, 0, 0)]",False,99.46375642580489
0,21,1,0,0,"[487, 80, 0, 225, (1, 0, 0)]",False,99.45726410666587
0,22,1,0,0,"[570, 200, 225, 180, (1, 0, 0)]",False,99.4627915704098
0,23,1,1,0,"[535, 220, 180, 180, (1, 1, 0)]",False,49.45957250194451
0,24,1,0,0,"[430, 60, 0, 315, (1, 0, 0)]",False,99.46027521144704
0,25,1,0,0,"[487, 240, 270, 225, (1, 0, 0)]",False,99.46033204402318
0,26,1,0,0,"[233, 560, 225, 0, (1, 0, 0)]",False,99.47294660096844
0,27,1,0,0,"[367, 40, 135, 225, (1, 0, 0)]",False,99.46167818238254
0,28,1,0,0,"[487, 80, 0, 90, (1, 0, 0)]",False,99.45451723326987
0,29,1,0,0,"[600, 160, 45, 45, (1, 0, 0)]",False,99.45297459923924
0,30,1,0,0,"[592, 180, 0, 0, (1, 0, 0)]",False,99.45530351692344
0,31,1,0,0,"[570, 120, 270, 45, (1, 0, 0)]",False,99.45571293949175
0,32,0,0,0,"[300, 580, 270, 180, (0, 0, 0)]",True,213.76996692484374
0,33,1,0,0,"[592, 140, 225, 270, (1, 0, 0)]",False,99.45619553235544
0,34,0,0,0,"[300, 580, 0, 225, (0, 0, 0)]",True,149.47372769331375
0,35,1,0,0,"[430, 260, 315, 45, (1, 0, 0)]",False,99.45546314163877
0,36,1,0,0,"[430, 260, 45, 225, (1, 0, 0)]",False,99.45976539775398
