,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",6262.494252981805,4822.378736850353,5553.354909385149,1316.256140406198,8883.453475982938,24720.82691598431,1358.5512547933968,5291.078620009686,7204.2156872116875,6648.182457369897,12235.097340395221,10307.122828277747,2329.661554075183,13676.44741114237,11229.373494991449,1012.6488236616474,8793.03183488864,8266.251846456847,1697.6282069763608,4773.461781031001,6142.630718552404,327.7456498681528,8920.854311347068,6821.011737174444,1168.577926173538,5626.9051630882495,919.1542215115599
"(300, 20, 0, 45, (1, 1, 1))",5729.129009499986,8693.50714734264,4311.909404649954,14137.425557967903,9405.62679461172,27468.15073525052,6721.509060690651,4180.4084046258195,8336.102247639701,12348.290348031125,5964.679422799013,6309.029746628818,7650.580582717857,10044.530459567017,12126.235180196229,7487.833630247464,3469.7257178785376,10474.658571971062,7626.853287130174,9612.934994324627,5198.281119191176,8019.284190909286,6842.173711440958,838.4036124718277,4112.887891007135,656.3636372267491,20.35737470477068
"(300, 20, 0, 90, (1, 1, 0))",8007.966003769175,5098.79099277118,2913.9930511660295,11430.860305172484,10276.609925827519,8737.941387313822,8745.76701114051,19409.0563725006,7215.720399322734,11643.704784315472,4467.517906664535,3406.7742832893255,13211.003388119767,10776.23492033607,9087.864337413232,9790.426171380603,11889.56916108223,8000.170965968747,1978.9112746168153,974.3663700922218,381.1566558006366,7788.287385035399,4335.935755155411,6111.969152326533,15145.01494520088,7027.668147943259,2031.12455573499
"(367, 40, 0, 135, (1, 1, 0))",1010.6965268400536,-0.05235714695856778,-0.0519573706026827,15639.006923734714,-0.053129356853635935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05410260874514089,0.0,0.0,0.0,0.0,-0.053955411776318435,0.0,0.0,0.0,0.0,0.0,-0.05336268761296939,0.0,0.0,-0.05445922719443293
"(300, 20, 315, 135, (1, 1, 0))",12.400134893269257,0.0,-0.052804223324543854,0.0,0.0,0.0,-0.05344497146514624,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,0.0,0.0,12605.547818744837,-0.053129356853635935,0.0,0.0,-0.053057800715970244,-0.05281086162310314,0.0,69.49036172992406,0.0,0.0,0.0,0.0
"(300, 20, 270, 90, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,-0.05279024070403857,3663.980825935224,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235714695856778,0.0,-0.052138869426710935,0.0,0.0,-0.052846419318695693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 225, 45, (1, 1, 0))",-0.05235714695856778,0.0,0.0,0.0,0.0,-0.05333759945242537,0.0,-0.05156650648859543,79.58953207462304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05445922719443293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 225, 90, (1, 1, 0))",0.0,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,0.0,0.0,-0.05345911736016874,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,0.0,-0.05279024070403857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 180, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,0.0,0.0,-0.05345911736016874,0.0,-0.05126592643085079,0.0,0.0,0.0,-0.05479709114098599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 225, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,-0.0517246236531031,-0.052846419318695693,-0.053715564010645395,0.0,-0.05220630412940811,0.0
"(367, 40, 270, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,961.0251222812085,0.0,0.0,-0.0517246236531031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05226029444308544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 225, 0, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,-0.05235714695856778,-0.05060775485708801,0.0,0.0,0.0,0.0,-0.053955411776318435,0.0,0.0,-0.052846419318695693,0.0,0.0,0.0,0.0,-0.05336268761296939,-0.05445922719443293,-0.05147205662771967,0.0,0.0,0.0,0.0,-0.05282451139011915
"(430, 60, 180, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,-0.053955411776318435,0.0,-0.0517246236531031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054134292618619274,0.0,0.0,0.0,0.0,0.0,-0.055638006168906275,0.0,0.0,0.0
"(367, 40, 180, 45, (1, 1, 0))",0.0,0.0,-0.05500576727333444,-0.05235714695856778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052846419318695693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
