,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",744.6638237493913,229.2484248910768,-0.09789241424250453,34.14379775101629,1341.0826175393534,882.5221060491833,9.195593520924994,831.4040945272299,21053.30516659028,337.05828460975255,-0.052635889119344574,90.03052801667451,2.4248386522799206,835.1832029838135,1040.5438901496073,0.0,0.0,1163.1688033732673,-0.1821038008870597,0.0,108.02512915606174,-0.14118664581390933,169.80333781298106,186.62415781004566,0.0,120.70688844265482,-0.05138292990096141
"(367, 40, 315, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,807.1346102239693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05209839328926544,0.0,0.0,0.0,-0.05343255389352063,0.0,0.0,0.0,0.0,0.0,-0.051688520596066836,0.0,0.0
"(300, 20, 315, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5664.844696991378,0.0,0.0,0.0,0.0,-0.053570255396194144,0.0,0.0,-0.052635889119344574,0.0,-0.05087457411438049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050983099274857
"(300, 20, 0, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05087457411438049,0.0,0.0,8231.725724374151,-0.05128459053897445,0.0,0.0,0.0,0.0,-0.05087457411438049,0.0,94.98468685333647,0.0,0.0,0.0,0.0,0.0,0.0,-0.050983099274857,0.0,-0.050983099274857,0.0,0.0
"(367, 40, 0, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051614371224177225,0.0,0.0,0.0,0.0,0.0,1699.0365034448353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052356710553094155
"(367, 40, 0, 0, (1, 1, 1))",3843.8257458315825,-0.052635889119344574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.961486372904275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0507457393876187,0.0,-0.052031345374516084
"(430, 60, 45, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097.995300957435,0.0,0.0
"(487, 80, 90, 270, (1, 1, 0))",0.0,0.0,0.0,-0.054134292618619274,0.0,0.0,0.0,0.0,0.0,0.0,92.46426217455266,0.0,0.0,-0.05385646739956943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05491244164201219,0.0,0.0,0.0,0.0,0.0
"(535, 100, 90, 225, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2363054943498324,0.0,0.0,0.0,0.0,-0.05491244164201219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05437410418765121
"(570, 120, 135, 270, (1, 1, 0))",0.0,0.0,-0.05470763059694022,0.0,-0.05412315932781513,-0.05428416281726095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05360492930047953,0.0,0.0,-0.054801896113931284,0.0,-0.05525509280499899,0.0,0.0,-0.05457943113403734,0.0,0.0
"(535, 100, 135, 270, (1, 1, 0))",0.0,0.0,0.0,0.0,-0.053782679777859534,-0.05385646739956943,0.0,0.0,0.0,0.0,0.0,0.0,-0.0549519484941427,-0.05412315932781513,-0.05428416281726095,0.0,0.0,0.0,-0.05517755991691203,0.0,0.0,0.0,-0.1033107979565373,0.0,0.0,-0.05360492930047953,-0.053645568474496835
"(535, 100, 135, 315, (1, 1, 0))",0.0,-0.05423223673352722,0.0,0.0,0.0,0.0,0.0,0.0,-0.05385646739956943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05428416281726095,0.0,0.0,0.0,0.0,0.0,-0.055599465533474224,0.0,-0.053645568474496835,0.0
"(570, 120, 135, 0, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05506267655329429,-0.056119793333290514,0.0,-0.05460038539837541,-0.055599465533474224,0.0,0.0,0.0,-0.0556424700793047,0.0,-0.056359644912173296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 90, 0, (1, 1, 0))",-0.05491562807207091,0.0,-0.05681681008436099,0.0,0.0,-0.05704028564516327,-0.05460038539837541,0.0,-0.05660002806167467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055324242807242,0.0,0.0,-0.0554099540114862,0.0,0.0,0.0,0.0,0.0
"(570, 120, 90, 45, (1, 1, 0))",0.0,-0.056453665565891764,0.0,0.0,-0.05669846815849923,-0.05710216747634607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055599465533474224,0.0,0.0,0.0,-0.05706380768978933,-0.05726469328803568,0.0,0.0,-0.057615069722817186,0.0,0.0,0.0
"(535, 100, 45, 45, (1, 1, 0))",0.0,0.0,-0.05528451028523568,0.0,0.0,0.0,0.0,-0.05623773091739037,0.0,0.0,0.0,-0.055762175095724176,0.0,0.0,0.0,-0.055762175095724176,0.0,0.0,-0.05527605066947899,0.0,-0.056119793333290514,0.0,0.0,0.0,0.0,0.0,0.0
"(570, 120, 0, 0, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05681681008436099,0.0,0.0,0.0,0.0,0.0,-0.05626240183387409,0.0,0.0,0.0
"(592, 140, 0, 45, (1, 1, 0))",-0.054193837633420366,0.0,0.0,0.0,0.0,0.0,-0.056000769728672975,0.0,0.0,0.0,0.0,0.0,0.0,-0.05626240183387409,0.0,0.0,0.0,0.0,-0.05464246564879306,0.0,0.0,0.0,0.0,0.0,-0.056404666782684965,0.0,0.0
"(570, 120, 315, 0, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05562536158929489,0.0,-0.053359861145584865,0.0,0.0,0.0,-0.05491562807207091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05447387947203234,0.0,0.0
"(535, 100, 0, 45, (1, 1, 0))",0.0,0.0,0.0,-0.05440204657628206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05562536158929489,0.0,0.0,-0.054193837633420366,0.0,0.0,0.0,0.0,0.0,-0.056000769728672975,0.0,0.0
"(535, 100, 45, 0, (1, 1, 0))",0.0,0.0,-0.05513359402685114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055762175095724176,-0.05669846815849923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(535, 100, 90, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,-0.05623773091739037,-0.056672530678048255,-0.05481763023295452,0.0,-0.05644992381261582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056000769728672975,0.0,0.0,0.0,-0.05704028564516327,0.0,0.0,0.0,0.0
"(487, 80, 90, 90, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,-0.055992845305420105,0.0,-0.055992845305420105,0.0,-0.05597185437312731,-0.05623773091739037,-0.05585374816566409,0.0,0.0,-0.05644992381261582,0.0,0.0,0.0,-0.056453665565891764,0.0,0.0,0.0,-0.05710216747634607,0.0,0.0,0.0,0.0
"(430, 60, 90, 135, (1, 1, 0))",0.0,0.0,0.0,-0.05561208726136735,0.0,0.0,0.0,-0.05561002408612434,0.0,0.0,0.0,0.0,-0.056165689221355376,0.0,0.0,0.0,0.0,-0.055414881610114236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 135, 135, (1, 1, 0))",-0.0550350552780151,0.0,0.0,0.0,-0.05521544516795186,-0.05480730346802243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05509244478521447,0.0,0.0,0.0,0.0,0.0,-0.05601770290188223,-0.055414881610114236,-0.05522510490395393,0.0,0.0
"(300, 20, 135, 135, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,-0.05438322108443625,-0.05480730346802243,-0.05463166899933041,-0.0550350552780151,0.0,0.0,0.0,0.0,-0.05480730346802243,0.0,0.0,0.0,0.0,-0.055502188827144666,0.0,0.0,-0.05561002408612434,0.0,0.0,0.0,-0.05477497348609722
"(300, 20, 180, 90, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053885508046100296,0.13997195327244935,0.0,0.0,0.0,0.0,-0.05480730346802243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 180, 135, (1, 1, 0))",0.0,-0.05521544516795186,0.0,0.0,-0.05480730346802243,-0.05463166899933041,-0.05333759945242537,0.0,0.0,0.0,0.0,-0.05480730346802243,0.0,0.0,0.0,-0.05333759945242537,0.0,0.0,0.0,-0.05561002408612434,0.0,0.0,0.0,-0.05477497348609722,0.0,0.0,0.0
"(300, 20, 225, 90, (1, 1, 0))",0.0,-0.05438322108443625,-0.05480730346802243,0.0,0.0,0.0,0.0,-0.05235714695856778,0.0,0.0,0.0,0.0,0.0,-0.05333759945242537,-0.053885508046100296,-0.05156650648859543,0.0,0.0,0.0,-0.054795362324421094,-0.05509244478521447,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 225, 135, (1, 1, 0))",0.0,0.0,0.0,-0.05333759945242537,0.0,-0.053895392734821246,-0.05235714695856778,0.0,-0.052804223324543854,0.0,0.0,-0.05463166899933041,0.0,-0.053885508046100296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053057800715970244,-0.05281086162310314
"(367, 40, 270, 135, (1, 1, 0))",0.0,0.0,0.0,0.0,-0.05279024070403857,0.0,0.0,0.0,0.0,0.0,-0.05409767292594867,0.0,0.0,0.0,0.0,0.0,0.0,-0.05220238822406889,-0.054134292618619274,-0.054375574386595384,0.0,0.0,-0.05340862938575241,0.0,0.0,0.0,-0.052575557077659464
"(430, 60, 225, 90, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05282451139011915,0.0,0.0,-0.05493466886819395,0.0,0.0,0.0,0.0,0.0,-0.05339074666203691,0.0,0.0
"(430, 60, 270, 45, (1, 1, 0))",0.0,0.0,-0.053715564010645395,-0.05122887386968175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.250053148696,0.0,-0.05367361296717167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 270, 0, (1, 1, 0))",0.0,0.0,0.0,999.9814652368782,0.0,0.0,0.0,0.0,0.0,-0.05122172309514122,0.0,0.0,4877.456649753269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 225, 315, (1, 1, 0))",0.0,0.0,0.0,0.0,8.044088904501551,0.0,0.0,0.0,-0.05053706908004271,0.0,0.0,0.0,0.0,0.0,-0.0517246236531031,0.0,0.0,0.0,-0.05295544664514919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 225, 0, (1, 1, 0))",0.0,0.0,0.0,-0.05129716211967265,1748.3566501059322,0.0,0.0,0.0,0.0,-0.05220238822406889,0.0,0.0,0.0,0.0,0.0,0.0,791.9940262573185,0.0,0.0,0.0,0.0,-0.05147205662771967,0.0,0.0,0.0,0.0,0.0
"(430, 60, 225, 315, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,74.10654894542378,0.0,0.0,0.0,0.0,-0.052575557077659464,-0.05336268761296939,-0.05207362485977333,-0.05147205662771967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05186595329161801,0.0,0.0,0.0,0.0
"(430, 60, 225, 270, (1, 1, 0))",0.0,-0.05281086162310314,-0.05220238822406889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05295544664514919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 180, 270, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.960270482332,0.0,0.0,-0.05340862938575241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 135, 270, (1, 1, 0))",0.0,0.0,-0.05306173824254671,0.0,-0.053057800715970244,-0.052846419318695693,0.0,-0.05281086162310314,0.0,0.0,0.0,-0.05367361296717167,0.0,0.0,0.0,-0.0540381925065184,0.0,0.0,0.0,0.0,0.0,-0.05467635792558208,0.0,-0.05385646739956943,0.0,0.0,0.0
"(367, 40, 180, 270, (1, 1, 0))",0.0,-0.05279024070403857,-0.05235714695856778,0.0,0.0,-0.0519573706026827,0.0,0.0,0.0,-0.05409767292594867,0.0,0.0,0.0,0.0,-0.05220238822406889,-0.05321490094945827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 135, 225, (1, 1, 0))",0.0,-0.05333759945242537,0.0,0.0,0.0,0.0,-0.05463166899933041,0.0,0.0,0.0,-0.053715564010645395,0.0,-0.05509244478521447,0.0,0.0,0.0,-0.053919903867672495,-0.05281086162310314,0.0,0.0,0.0,-0.055414881610114236,0.0,0.0,-0.05498051014851191,0.0,0.0
"(430, 60, 180, 180, (1, 1, 0))",0.0,0.0,0.0,0.0,-0.05477497348609722,0.0,-0.05409767292594867,0.0,0.0,-0.05601770290188223,-0.055414881610114236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05640785131186023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 80, 135, 135, (1, 1, 0))",-0.056165689221355376,0.0,0.0,0.0,0.0,0.0,0.0,-0.055414881610114236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055638006168906275,0.0,0.0,-0.05710216747634607,0.0,0.0,0.0,0.0,0.0,0.0,-0.05602706784225123,0.0
"(535, 100, 180, 135, (1, 1, 0))",0.0,-0.05640785131186023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05602706784225123,0.0,0.0,0.0,-0.05491244164201219,0.0,0.0,-0.057120808224158076,0.0,-0.05622936257089081,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 180, 135, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,-0.053715564010645395,0.0,0.0,-0.017846400681588544,-0.05601770290188223,0.0,0.0,0.0,-0.05498051014851191,0.0,0.0,0.0,0.0,-0.05640785131186023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(535, 100, 90, 90, (1, 1, 0))",0.0,0.0,0.0,-0.05623773091739037,0.0,0.0,-0.05585374816566409,0.0,0.0,0.0,-0.05669846815849923,0.0,0.0,-0.05710216747634607,0.0,0.0,0.0,0.0,-0.05681681008436099,0.0,0.0,0.0,-0.05741642347407377,0.0,0.0,0.0,-0.05698255684196016
"(570, 120, 45, 45, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056000769728672975,0.0,0.0,0.0,0.0,-0.05741642347407377,0.0,0.0,0.0,0.0,-0.05706380768978933,0.0,0.0,0.0,-0.057615069722817186
"(570, 120, 90, 90, (1, 1, 0))",-0.10726196457519435,0.0,-0.05628445193443996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057120808224158076,0.0,0.0,0.0,-0.05706380768978933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057117404623567486
"(592, 140, 135, 135, (1, 1, 0))",0.0,-0.057120808224158076,0.0,0.0,-0.05698255684196016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057117404623567486,0.0,0.0,-0.05633615515792467,0.0,-0.05768894228471484,-0.05733825438603989,0.0,-0.05733825438603989,0.0,-0.05633179222816238,0.0,0.0,0.0
"(570, 120, 135, 135, (1, 1, 0))",0.0,-0.056839552418739586,0.0,0.0,0.0,-0.10645142890027734,-0.05599520063570691,0.0,0.0,0.0,0.0,0.0,0.0,-0.05698255684196016,0.0,-0.056252018268465924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(570, 120, 180, 90, (1, 1, 0))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057120808224158076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
