batch,term,s1,s2,s3,end_state,done,mean_reward
0,0,1,1,0,"[430, 260, 45, 0, (1, 1, 0)]",False,49.463887660319195
0,1,1,1,0,"[570, 120, 315, 135, (1, 1, 0)]",False,49.46083485924262
0,2,1,1,0,"[535, 220, 315, 90, (1, 1, 0)]",False,49.47038079419886
0,3,1,1,0,"[487, 80, 0, 225, (1, 1, 0)]",False,49.45810222681555
0,4,1,1,0,"[367, 40, 135, 90, (1, 1, 0)]",False,49.4667339611496
0,5,1,0,0,"[570, 200, 0, 270, (1, 0, 0)]",False,99.46839336863042
0,6,1,1,0,"[430, 60, 180, 315, (1, 1, 0)]",False,49.46233966269424
0,7,1,1,0,"[600, 160, 315, 225, (1, 1, 0)]",False,49.4658920306927
0,8,1,1,0,"[570, 120, 270, 180, (1, 1, 0)]",False,49.472314632961506
0,9,1,0,0,"[300, 20, 180, 90, (1, 0, 0)]",False,99.47135807201252
0,10,1,0,0,"[535, 100, 315, 135, (1, 0, 0)]",False,99.46066409284738
0,11,1,0,0,"[487, 240, 45, 180, (1, 0, 0)]",False,99.45970394663404
0,12,1,1,0,"[535, 100, 90, 315, (1, 1, 0)]",False,49.46643352133934
0,13,0,0,0,"[30, 400, 225, 45, (0, 0, 0)]",0,149.47431436480173
0,14,1,1,0,"[535, 100, 225, 180, (1, 1, 0)]",False,49.457954488190296
0,15,1,0,0,"[592, 180, 225, 270, (1, 0, 0)]",False,99.47023033690277
0,16,1,0,0,"[487, 240, 315, 180, (1, 0, 0)]",False,99.4637019304086
0,17,0,0,0,"[300, 300, 225, 90, (0, 0, 0)]",0,149.461471775174
0,18,1,0,0,"[487, 80, 90, 315, (1, 0, 0)]",False,99.45665575664952
0,19,1,1,0,"[65, 380, 45, 90, (1, 1, 0)]",False,49.45834574243493
0,20,1,0,0,"[487, 80, 270, 90, (1, 0, 0)]",False,99.45758875976762
0,21,1,0,0,"[430, 60, 225, 180, (1, 0, 0)]",False,99.46114092558466
0,22,1,0,0,"[300, 20, 180, 225, (1, 0, 0)]",False,99.45326967884056
0,23,1,0,0,"[367, 40, 90, 90, (1, 0, 0)]",False,99.45913707075547
0,24,1,0,0,"[535, 100, 135, 0, (1, 0, 0)]",False,99.46257205851609
0,25,1,1,0,"[592, 180, 0, 135, (1, 1, 0)]",False,49.45804847246238
0,26,0,0,0,"[135, 352, 17, 62, (0, 0, 0)]",1,218.05062643185383
0,27,1,0,0,"[487, 240, 180, 180, (1, 0, 0)]",False,99.4591802464484
0,28,1,0,0,"[592, 140, 270, 90, (1, 0, 0)]",False,99.45872598668751
0,29,0,0,0,"[170, 540, 315, 315, (0, 0, 0)]",0,149.47018348947066
0,30,1,0,0,"[487, 80, 315, 180, (1, 0, 0)]",False,99.45680616154344
0,31,0,0,0,"[233, 320, 315, 90, (0, 0, 0)]",0,149.46113922505617
0,32,1,0,0,"[535, 100, 0, 90, (1, 0, 0)]",False,99.45748997050488
0,33,1,0,0,"[300, 20, 270, 180, (1, 0, 0)]",False,99.45802668942827
0,34,1,0,0,"[430, 60, 270, 45, (1, 0, 0)]",False,99.46027638178795
0,35,1,1,0,"[592, 180, 90, 315, (1, 1, 0)]",False,49.45369106164533
0,36,0,0,0,"[233, 320, 270, 225, (0, 0, 0)]",0,149.46759113402047
0,37,1,1,0,"[8, 420, 45, 45, (1, 1, 0)]",False,49.46557898182102
0,38,1,0,0,"[430, 60, 270, 0, (1, 0, 0)]",False,99.46053553221067
0,39,1,0,0,"[570, 200, 315, 45, (1, 0, 0)]",False,99.45562162605603
0,40,1,0,0,"[487, 80, 45, 0, (1, 0, 0)]",False,99.45596816532425
0,41,1,0,0,"[570, 200, 90, 135, (1, 0, 0)]",False,99.45403997835666
0,42,0,0,0,"[65, 500, 0, 45, (0, 0, 0)]",0,149.47299121476405
0,43,1,0,0,"[592, 180, 180, 0, (1, 0, 0)]",False,99.4558042127747
0,44,1,0,0,"[487, 80, 90, 315, (1, 0, 0)]",False,99.45210793238202
0,45,1,0,0,"[570, 200, 225, 180, (1, 0, 0)]",False,99.45838006235806
0,46,1,0,0,"[535, 100, 315, 180, (1, 0, 0)]",False,99.45705304168087
0,47,1,0,0,"[535, 100, 45, 180, (1, 0, 0)]",False,99.46136427817464
0,48,1,0,0,"[592, 180, 90, 0, (1, 0, 0)]",False,99.45890028939907
0,49,1,0,0,"[600, 160, 90, 315, (1, 0, 0)]",False,99.4589608956642
0,50,1,0,0,"[367, 40, 45, 180, (1, 0, 0)]",False,99.45433107016206
0,51,1,0,0,"[535, 100, 135, 315, (1, 0, 0)]",False,99.45191415812886
0,52,1,0,0,"[367, 40, 90, 45, (1, 0, 0)]",False,99.45554904522284
0,53,0,0,0,"[430, 260, 45, 45, (0, 0, 0)]",0,149.46633289932154
0,54,1,0,0,"[535, 100, 315, 90, (1, 0, 0)]",False,99.45974412578431
0,55,0,0,0,"[592, 180, 270, 315, (0, 0, 0)]",0,149.459543052034
0,56,0,0,0,"[300, 300, 135, 90, (0, 0, 0)]",0,149.4688422926109
0,57,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,260.9051499894883
0,58,1,0,0,"[367, 280, 315, 90, (1, 0, 0)]",False,99.45962174744336
0,59,0,0,0,"[65, 380, 315, 225, (0, 0, 0)]",0,149.46339298165213
0,60,1,0,0,"[300, 20, 270, 315, (1, 0, 0)]",False,99.46297994733563
0,61,1,0,0,"[367, 40, 315, 315, (1, 0, 0)]",False,99.45897325118268
0,62,0,0,0,"[535, 220, 135, 45, (0, 0, 0)]",0,149.46171348671874
0,63,1,0,0,"[367, 40, 135, 90, (1, 0, 0)]",False,99.45937650867863
0,64,1,0,0,"[430, 260, 315, 135, (1, 0, 0)]",False,99.45920078770808
0,65,1,0,0,"[487, 240, 180, 0, (1, 0, 0)]",False,99.45847212579895
0,66,1,0,0,"[430, 60, 180, 315, (1, 0, 0)]",False,99.45941135278352
0,67,0,0,0,"[487, 240, 90, 90, (0, 0, 0)]",0,149.46678864491435
0,68,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,309.54256425326923
0,69,0,0,0,"[300, 580, 307, 135, (0, 0, 0)]",1,232.0387322922729
0,70,1,0,0,"[570, 200, 315, 270, (1, 0, 0)]",False,99.45578885837496
0,71,1,0,0,"[430, 60, 135, 0, (1, 0, 0)]",False,99.45646688374087
0,72,1,0,0,"[487, 80, 180, 135, (1, 0, 0)]",False,99.45240305209516
0,73,0,0,0,"[113, 360, 21, 66, (0, 0, 0)]",1,384.092470565728
0,74,0,0,0,"[334, 290, 338, 0, (0, 0, 0)]",1,224.18643549140424
0,75,1,0,0,"[570, 120, 225, 0, (1, 0, 0)]",False,99.4558694347048
0,76,0,0,0,"[535, 220, 45, 0, (0, 0, 0)]",0,149.4708016624285
0,77,1,0,0,"[487, 80, 225, 225, (1, 0, 0)]",False,99.45664417861202
0,78,0,0,0,"[300, 20, 180, 180, (0, 0, 0)]",0,149.46470939726242
0,79,1,0,0,"[430, 260, 0, 270, (1, 0, 0)]",False,99.45771283589616
0,80,0,0,0,"[300, 300, 270, 180, (0, 0, 0)]",0,149.46506553983363
0,81,1,0,0,"[300, 20, 315, 45, (1, 0, 0)]",False,99.45729430611246
0,82,1,0,0,"[592, 180, 0, 225, (1, 0, 0)]",False,99.46071037961474
0,83,1,0,0,"[592, 180, 180, 225, (1, 0, 0)]",False,99.45408107811483
0,84,1,0,0,"[430, 60, 315, 0, (1, 0, 0)]",False,99.45329093452524
0,85,1,0,0,"[487, 80, 90, 225, (1, 0, 0)]",False,99.46119061166318
0,86,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,335.61106013053336
0,87,0,0,0,"[113, 360, 225, 135, (0, 0, 0)]",0,149.46780679821234
0,88,1,0,0,"[487, 80, 270, 180, (1, 0, 0)]",False,99.45772591121093
0,89,1,0,0,"[600, 160, 315, 270, (1, 0, 0)]",False,99.45686355281303
0,90,1,0,0,"[535, 220, 135, 225, (1, 0, 0)]",False,99.45845489168335
0,91,0,0,0,"[113, 360, 45, 0, (0, 0, 0)]",0,149.46312335794215
0,92,0,0,0,"[367, 280, 45, 0, (0, 0, 0)]",0,149.46608393122952
0,93,0,0,0,"[170, 340, 0, 63, (0, 0, 0)]",1,350.35304099578474
0,94,0,0,0,"[113, 360, 270, 270, (0, 0, 0)]",0,149.4574875778044
0,95,0,0,0,"[280, 306, 346, 31, (0, 0, 0)]",1,204.59216669846546
0,96,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,363.1184124940869
0,97,0,0,0,"[592, 140, 135, 180, (0, 0, 0)]",0,149.46230295382404
0,98,0,0,0,"[220, 324, 36, 351, (0, 0, 0)]",1,499.49737919956425
0,99,1,0,0,"[535, 220, 135, 45, (1, 0, 0)]",False,99.46874747588762
0,100,1,0,0,"[592, 140, 180, 90, (1, 0, 0)]",False,99.46036797751707
0,101,1,0,0,"[300, 20, 45, 0, (1, 0, 0)]",False,99.46506893649327
0,102,1,0,0,"[367, 40, 135, 45, (1, 0, 0)]",False,99.46163292879262
0,103,1,0,0,"[430, 260, 45, 180, (1, 0, 0)]",False,99.46160490242092
0,104,0,0,0,"[300, 300, 225, 90, (0, 0, 0)]",0,149.46725489002526
0,105,0,0,0,"[430, 260, 135, 225, (0, 0, 0)]",0,149.46549195741198
0,106,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,384.09543270575534
0,107,1,0,0,"[592, 140, 45, 90, (1, 0, 0)]",False,99.45398834577416
0,108,0,0,0,"[307, 298, 356, 356, (0, 0, 0)]",1,416.15213021746916
0,109,0,0,0,"[487, 240, 0, 45, (0, 0, 0)]",0,149.4642304913907
0,110,0,0,0,"[367, 40, 135, 45, (0, 0, 0)]",0,149.46392895826975
0,111,0,0,0,"[334, 290, 0, 338, (0, 0, 0)]",1,327.3489105321786
0,112,0,0,0,"[535, 220, 315, 0, (0, 0, 0)]",0,149.46468144177626
0,113,0,0,0,"[0, 440, 135, 180, (0, 0, 0)]",0,149.4679782502279
0,114,1,0,0,"[300, 20, 90, 0, (1, 0, 0)]",False,99.46127142395493
0,115,0,0,0,"[334, 290, 338, 0, (0, 0, 0)]",1,380.4262118499365
0,116,1,0,0,"[570, 120, 180, 135, (1, 0, 0)]",False,99.45966083127354
0,117,0,0,0,"[303, 299, 3, 0, (0, 0, 0)]",1,518.9662101840427
0,118,0,0,0,"[334, 290, 338, 0, (0, 0, 0)]",1,384.0962197037798
0,119,1,0,0,"[592, 140, 225, 0, (1, 0, 0)]",False,99.46313022229808
0,120,0,0,0,"[334, 290, 338, 0, (0, 0, 0)]",1,869.0688859168662
0,121,1,0,0,"[535, 220, 135, 90, (1, 0, 0)]",False,99.4588280215084
0,122,1,0,0,"[300, 20, 225, 0, (1, 0, 0)]",False,99.46361661396722
0,123,0,0,0,"[334, 290, 338, 0, (0, 0, 0)]",1,247.9185243406824
0,124,1,0,0,"[535, 100, 315, 180, (1, 0, 0)]",False,99.46643075590076
