,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(30, 480, 180, 225, (1, 1, 1))",0.0,0.0,-0.05139612727363518,0.0,-0.052771032493991114,-0.0525215819264449,0.0,-0.05332823553038114,-0.053397382571556885
"(65, 500, 180, 270, (1, 1, 1))",0.0,-0.05088214851420706,-0.05078864392500219,0.0,0.0,-0.051443689308167596,-0.0528275011885446,-0.05290960071194777,0.0
"(113, 520, 135, 270, (1, 1, 1))",-0.050657048971872,-0.05091771747670198,-0.05204114735666715,0.0,0.0,0.0,0.0,0.0,0.0
"(170, 540, 90, 225, (1, 1, 1))",-0.051982842906270955,0.0,-0.05217176312289143,-0.05233635986210525,0.0,0.0,-0.05236085338396153,0.0,-0.05039186614627958
"(233, 560, 135, 180, (1, 1, 1))",-0.053986086750794686,-0.052961908894312376,-0.05193508498108987,-0.05364519358524507,0.0,-0.051695596741587996,-0.05281381621604406,0.0,0.0
"(300, 580, 90, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 45, 315, (1, 1, 1))",517.5209754565068,5189.823823050436,986.2370209455555,-0.257522054669619,93.54350135927477,149.89953920102334,-0.25624373740908474,-0.32209020337080696,-0.23384627502300115
"(430, 60, 90, 315, (1, 1, 1))",-0.10721277224274045,-0.10689709688977991,-0.0637069221949375,14.76501503837749,-0.10853766602495496,-0.055203590926895786,-0.0554370157477767,-0.10427488157997417,-0.05535257391362525
"(487, 80, 90, 0, (1, 1, 1))",-0.05889234412849118,-0.059662405973282595,-0.05594440217386113,-0.10414790296622922,1159.522839292207,-0.05662913001192066,-0.1046331501592943,-0.055622154356509426,-0.05668736295110225
"(535, 100, 90, 0, (1, 1, 1))",7125.053752860338,7092.831270202529,7095.307568212073,7051.058051064375,7009.8834456351005,6698.885764524849,6806.375386060451,6606.570629910044,6749.785491398329
"(570, 120, 45, 45, (1, 1, 1))",7917.077685158068,496.90824721538206,13.252439057989408,790.3830123942552,1954.7648739716315,451.60416291292006,632.4514191112423,1891.2878469153998,455.7310600208773
"(592, 140, 90, 45, (1, 1, 1))",0.0,1564.0842413313362,-0.057036483741494004,1333.2703826892357,142.46440195119473,8792.175863625205,0.12139108101304841,15.371163945178964,-0.05777663073905675
"(600, 160, 90, 45, (1, 1, 1))",-0.055334855104799276,2130.5488718899296,0.0,0.0,-0.05691951939638848,-0.05759228697937463,-0.05575627447262493,-0.056832051806961374,-0.05762298376029154
"(592, 180, 135, 0, (1, 1, 1))",86.0378639820584,-0.05562278846263137,0.0,-0.054770212349070396,-0.10543710825774207,0.0,0.0,-0.10406340346323376,-0.055848153397351254
"(570, 200, 180, 0, (1, 1, 1))",0.0,-0.05511584547610613,-0.05619852287220936,0.0,8.683248592239575,-0.05546786804519302,-0.052836211768845766,-0.053297390379494096,-0.054385620302196284
"(535, 220, 135, 0, (1, 1, 1))",-0.05387164119334632,0.0,-0.055843361993839075,0.0,-0.054621455356756325,-0.055709681187377375,-0.053374151167729846,-0.053892954260961995,0.0
"(487, 240, 180, 0, (1, 1, 1))",-0.05332717517623933,-0.054043707530398034,-0.05513862516320028,-0.0528730218107678,-0.05332717517623933,-0.0544137419695941,0.0,-0.05224570607891013,858.500181480119
"(430, 260, 135, 0, (1, 1, 1))",-0.052650757685353836,-0.03976577373797533,-0.0546615195596651,0.0,0.0,0.0,0.0,-0.052718962464555846,0.0
"(367, 280, 180, 0, (1, 1, 1))",-0.05209897860240249,0.0,0.0,-0.051968841545949454,0.0,0.0,2518.3777912093988,0.0,0.0
"(300, 300, 180, 315, (1, 1, 1))",0.0,-0.05153053472606281,0.0,16.358594208751786,0.0,1196.3330137514843,-0.052884673160915524,0.0,-0.05088707519813895
